CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2018-12,1026.0,341.0,310.0,368.0,355.0,385.0,359.0,346.0,333.0,388.0,369.0,492.0,248.0
2019-01,485.0,98.0,127.0,111.0,147.0,136.0,113.0,114.0,138.0,154.0,166.0,56.0,
2019-02,438.0,83.0,80.0,114.0,115.0,98.0,105.0,117.0,103.0,132.0,30.0,,
2019-03,503.0,71.0,115.0,95.0,116.0,83.0,131.0,117.0,143.0,47.0,,,
2019-04,321.0,66.0,60.0,63.0,62.0,74.0,69.0,83.0,25.0,,,,
2019-05,332.0,62.0,62.0,55.0,68.0,73.0,84.0,27.0,,,,,
2019-06,274.0,48.0,41.0,60.0,62.0,79.0,29.0,,,,,,
2019-07,211.0,31.0,37.0,43.0,63.0,22.0,,,,,,,
2019-08,173.0,32.0,41.0,39.0,20.0,,,,,,,,
2019-09,282.0,68.0,94.0,35.0,,,,,,,,,
2019-10,335.0,78.0,34.0,,,,,,,,,,
2019-11,290.0,32.0,,,,,,,,,,,
2019-12,47.0,,,,,,,,,,,,
