ProductName,Revenue,CumRevenue,CumPercent
Popcorn Holder,587433.94,587433.94,0.9610676163322033
World War 2 Gliders Asstd Designs,569735.39,1157169.33,1.8931796308463773
Cream Hanging Heart T-Light Holder,484592.69,1641762.02,2.685994464579529
Assorted Colour Bird Ornament,421318.74,2063080.76,3.375290348926776
Pack Of 72 Retrospot Cake Cases,391485.02999999997,2454565.79,4.015776978984006
Rabbit Night Light,329029.89,2783595.68,4.554084268624688
Regency Cakestand 3 Tier,307483.85,3091079.5300000003,5.057141294543464
Jumbo Bag Red Retrospot,297205.04,3388284.5700000003,5.543381737774778
Mini Paint Set Vintage,287001.66,3675286.2300000004,6.012929005097443
Party Bunting,286596.09,3961882.3200000003,6.481812742163145
Victorian Glass Hanging T-Light,274287.34,4236169.66,6.930558825925177
Pack Of 12 London Tissues,271027.14,4507196.8,7.3739710799075295
Pack Of 60 Pink Paisley Cake Cases,264629.4,4771826.2,7.806916351454865
Assorted Colours Silk Fan,261513.88,5033340.08,8.234764496029872
Red Harmonica In Box,246003.47,5279343.55,8.637236931521684
Brocade Ring Purse,239794.0,5519137.55,9.029550402532168
Paper Chain Kit 50'S Christmas,234414.31,5753551.859999999,9.413062465430437
Antique Silver T-Light Glass,216858.23,5970410.09,9.767852013661377
Heart Of Wicker Small,210920.39,6181330.4799999995,10.112926995970296
Charlotte Bag Suki Design,205303.99,6386634.47,10.448813302254864
Red Retrospot Charlotte Bag,195144.64,6581779.109999999,10.768078467636363
60 Teatime Fairy Cake Cases,194570.86,6776349.97,11.086404903844505
Jam Making Set Printed,186081.61,6962431.58,11.390842555788753
Grow A Flytrap Or Sunflower In Tin,182585.03,7145016.61,11.689559649935617
Colour Glass T-Light Holder Hanging,176898.36000000002,7321914.970000001,11.978973103264988
Spaceboy Lunch Box,167810.62,7489725.590000001,12.25351861651645
Jumbo Storage Bag Suki,167595.75,7657321.340000001,12.527712593050914
60 Cake Cases Vintage Christmas,165752.19,7823073.530000001,12.798890424800204
Red Toadstool Led Night Light,162855.84,7985929.370000001,13.065329701282218
Pack Of 72 Skull Cake Cases,162807.86,8148737.230000001,13.331690480385902
Place Setting White Heart,158849.91,8307587.1400000015,13.591575880194918
Vintage Snap Cards,155924.96,8463512.100000001,13.846675933885882
Jumbo Shopper Vintage Red Paisley,152721.83,8616233.930000002,14.096535526813032
Hanging Jam Jar T-Light Holders,149265.48,8765499.410000002,14.340740379982195
Gin And Tonic Diet Metal Sign,149189.74,8914689.150000002,14.584821319198989
Woodland Charlotte Bag,148994.89,9063684.040000003,14.828583475294325
Chilli Lights,148111.07,9211795.110000003,15.070899663217197
Homemade Jam Scented Candles,145715.87,9357510.980000002,15.30929719918979
Set/20 Red Retrospot Paper Napkins,144500.24,9502011.220000003,15.545705911318734
Black Record Cover Frame,143859.82,9645871.040000003,15.781066868319925
Please One Person Metal Sign,143344.4,9789215.440000003,16.01558457566004
Hanging Heart Jar T-Light Holder,142658.35,9931873.790000003,16.24897987519684
Girls Alphabet Iron On Patches,142190.93,10074064.720000003,16.481610455171776
Set Of 4 Pantry Jelly Moulds,141737.43,10215802.150000002,16.713499089313604
72 Sweetheart Fairy Cake Cases,141621.24,10357423.390000002,16.945197631534047
Dolly Girl Lunch Box,140121.58,10497544.970000003,17.174442664409234
Small Chinese Style Scissor,138560.84,10636105.810000002,17.401134258387934
Lunch Box I Love London,136932.77,10773038.580000002,17.625162258645574
Strawberry Ceramic Trinket Pot,133443.52000000002,10906482.100000001,17.843481693306394
Jumbo Bag Pink Polkadot,131794.42,11038276.520000001,18.05910312824644
Travel Card Wallet Keep Calm,131713.49,11169990.010000002,18.27459215816714
Pack Of 60 Dinosaur Cake Cases,131548.55,11301538.560000002,18.489811339034453
Spotty Bunting,128130.8,11429669.360000003,18.69943893143189
Paper Chain Kit Vintage Christmas,127955.44,11557624.800000003,18.90877962720023
